Event,RunTime,ADC,SiPM,DownTime,Temp
8772,77271833,305,53.88,14438318,27.67
8773,77278333,359,69.86,14439628,27.67
8774,77280489,377,76.28,14440004,27.67
8775,77283705,451,113.08,14440568,27.67
8776,77287553,359,69.86,14441324,27.67
8777,77302432,547,162.22,14444114,27.67
8778,77310593,357,68.97,14445631,27.67
8779,77313693,236,40.44,14446198,27.67
8780,77316379,339,62.98,14446760,27.67
8781,77322446,399,87.3,14447883,27.67
8782,77327747,455,117.03,14448823,27.67
8783,77337409,376,76.43,14450705,27.67
8784,77356760,319,57.64,14454261,27.67
8785,77371698,583,201.26,14457055,27.67
8786,77374606,591,188.65,14457626,27.67
8787,77379754,56,16.76,14458577,27.67
8788,77386190,496,144.49,14459872,27.67
8789,77413746,415,95,14464982,27.67
8790,77468337,56,16.76,14475256,27.67
8791,77469264,352,66.89,14475445,27.67
8792,77472345,147,26.19,14476009,27.67
8793,77480783,463,119.23,14477493,27.67
8794,77494219,402,87.25,14480128,27.67
8795,77496470,448,112.41,14480506,27.67
8796,77522219,376,76.43,14485392,27.67
8797,77527825,140,25.42,14486330,27.67
8798,77546879,451,113.08,14489847,27.67
8799,77547304,376,76.43,14490039,27.67
8800,77552512,368,72.93,14490982,27.67
8801,77553768,755,529.8,14491173,27.67
8802,77567191,639,249.88,14493821,27.67
8803,77577195,399,87.3,14495708,27.67
8804,77636288,415,95,14506736,27.67
8805,77660672,259,44.69,14511231,27.67
8806,77665214,415,95,14512161,27.67
8807,77667676,216,36.85,14512539,27.67
8808,77669708,556,174.47,14512913,27.67
8809,77674358,384,80.08,14513860,27.67
8810,77686303,88,20.96,14516103,27.67
8811,77697289,376,76.43,14518140,27.67
8812,77704629,480,130.21,14519450,27.67
8813,77708202,384,80.08,14520205,27.67
8814,77728467,368,72.93,14523946,27.67
8815,77732355,433,104.37,14524697,27.67
8816,77732913,348,65.64,14524702,27.67
8817,77747712,323,58.48,14527496,27.67
8818,77763367,396,85.28,14530470,27.67
8819,77767228,352,66.89,14531220,27.67
8820,77776222,415,95,14532892,27.67
8821,77776329,467,121.56,14532897,27.67
8822,77801535,467,121.56,14537592,27.67
8823,77816225,412,92.93,14540414,27.67
8824,77817231,510,148.47,14540605,27.67
8825,77823852,396,85.28,14541744,27.67
8826,77833231,487,132.65,14543615,27.67
