Event,RunTime,ADC,SiPM,DownTime,Temp
3439,3543931,51,15.86,669511,25.73
3440,3544814,78,19.92,669699,25.84
3441,3544870,618,215.06,669704,24.98
3442,3549432,323,58.48,670644,25.2
3443,3549448,134,24.82,670649,24.66
3444,3550366,133,24.73,670838,25.2
3445,3550726,152,26.78,670843,25.52
3446,3551320,376,76.43,671031,24.98
3447,3551596,268,46.26,671036,25.3
3448,3552191,63,17.91,671225,24.98
3449,3552658,259,44.69,671230,25.09
3450,3552771,176,30.09,671235,25.2
3451,3556718,254,43.77,671976,25.73
3452,3558633,120,23.58,672349,24.98
3453,3560335,293,51.29,672722,25.2
3454,3561667,423,97.36,672911,25.2
3455,3561711,263,45.37,672916,24.98
3456,3562690,600,203.87,673105,25.95
3457,3562878,213,36.33,673110,24.66
3458,3563228,99,21.91,673299,25.3
3459,3563437,127,24.18,673304,25.52
3460,3565746,220,37.58,673677,25.3
3461,3566767,206,35.07,673866,25.09
3462,3567907,90,21.14,674055,24.98
3463,3568369,164,28.34,674244,25.63
3464,3570344,352,66.89,674617,26.05
3465,3570777,280,48.67,674622,25.09
3466,3573657,195,33.17,675179,25.95
3467,3573892,371,73.82,675184,25.95
3468,3574412,135,24.92,675374,26.05
3469,3574788,62,17.75,675379,24.98
3470,3576354,145,25.96,675750,25.52
3471,3577436,121,23.66,675939,24.87
3472,3577757,207,35.26,675944,25.63
3473,3577788,234,40.06,675949,25.09
3474,3579774,408,90.57,676322,25.41
3475,3580241,408,90.57,676512,25.2
3476,3580282,371,73.82,676517,25.95
3477,3581813,287,50.23,676707,24.77
3478,3582529,63,17.91,676896,25.52
3479,3585569,56,16.76,677450,25.2
3480,3586824,88,20.96,677638,24.98
3481,3586870,348,65.64,677643,24.98
3482,3589769,56,16.76,678203,24.98
3483,3590605,412,92.93,678391,24.77
3484,3590677,294,51.51,678396,25.3
3485,3591410,76,19.69,678585,24.98
3486,3593312,73,19.32,678956,24.98
3487,3594741,156,27.28,679144,25.52
3488,3596308,396,85.28,679517,25.2
3489,3598695,176,30.09,679892,25.09
3490,3598773,113,23.02,679897,24.98
3491,3599760,332,61.17,680086,24.98
3492,3600367,384,80.08,680276,25.73
3493,3600921,319,57.64,680281,24.44
3494,3601812,533,158.05,680470,24.66
3495,3603270,78,19.92,680849,25.73
3496,3603309,216,36.85,680854,25.52
3497,3603936,71,19.06,680859,24.98
3498,3605804,300,52.79,681230,25.84
3499,3605818,408,90.57,681235,24.98
3500,3607227,134,24.82,681610,25.3
3501,3607848,85,20.67,681615,26.05
3502,3608944,56,16.76,681804,26.05
3503,3609265,227,38.83,681992,25.09
3504,3610498,284,49.41,682181,25.41
3505,3611557,455,117.03,682370,25.3
3506,3615994,176,30.09,683119,25.52
3507,3616317,610,202.52,683310,24.98
3508,3617458,92,21.32,683502,25.52
3509,3617740,141,25.53,683507,24.77
3510,3617930,83,20.46,683512,25.52
3511,3619611,240,41.21,683884,25.95
3512,3619942,327,59.28,683889,25.63
3513,3620771,117,23.34,684078,24.98
3514,3620959,131,24.54,684083,25.73
3515,3621915,146,26.08,684271,25.73
3516,3622724,217,37.04,684459,25.2
3517,3624232,184,31.36,684832,25.41
3518,3624818,114,23.1,684837,25.52
3519,3624961,131,24.54,684842,24.77
3520,3625744,63,17.91,685030,24.66
3521,3626402,323,58.48,685218,24.98
3522,3626555,512,144.44,685223,24.66
3523,3626958,163,28.2,685227,24.98
3524,3627796,178,30.4,685416,25.2
3525,3627806,66,18.36,685421,25.63
3526,3629576,771,600.02,685792,25.2
3527,3629821,61,17.6,685797,25.2
3528,3630240,284,49.41,685985,25.63
3529,3630534,221,37.76,685990,24.98
3530,3630711,135,24.92,685995,25.41
3531,3631527,99,21.91,686184,25.3
3532,3631659,159,27.66,686189,24.98
3533,3631758,371,73.82,686194,24.87
3534,3632509,79,20.03,686384,25.09
3535,3632585,192,32.67,686389,24.98
3536,3632601,71,19.06,686394,25.95
3537,3633212,280,48.67,686582,25.84
3538,3633514,63,17.91,686587,25.3
3539,3635516,204,34.73,686958,25.73
3540,3637413,327,59.28,687331,24.66
3541,3637923,293,51.29,687336,24.98
3542,3638563,140,25.42,687525,24.87
3543,3638829,353,67.64,687530,24.87
3544,3638884,287,50.23,687535,24.98
3545,3639251,149,26.42,687724,25.73
3546,3640822,262,45.24,687913,24.98
3547,3641907,359,69.86,688102,25.41
3548,3642002,473,126.29,688107,25.2
3549,3642708,53,16.22,688297,24.98
3550,3644646,79,20.03,688668,24.98
3551,3645206,423,97.36,688857,25.52
3552,3645472,241,41.39,688862,25.41
3553,3646444,496,144.49,689051,25.09
3554,3647717,51,15.86,689243,25.95
3555,3648332,255,43.96,689431,25.52
3556,3648881,207,35.26,689436,25.2
3557,3649950,255,43.96,689625,25.2
3558,3654710,60,17.43,690550,25.41
