Event,RunTime,ADC,SiPM,DownTime,Temp
1902,15841588,519,154.3,2969872,27.13
1903,15843737,467,121.56,2970252,27.34
1904,15848648,481,129.57,2971190,27.13
1905,15853449,511,149.39,2972129,27.13
1906,15862800,710,362.55,2973823,27.02
1907,15872526,473,126.29,2975709,27.13
1908,15874551,707,320.63,2976088,27.34
1909,15877803,476,129.76,2976658,27.13
1910,15881963,499,141.24,2977410,27.13
1911,15886903,519,154.3,2978353,27.13
1912,15893968,632,232.56,2979668,27.24
1913,15897479,499,141.24,2980427,27.24
1914,15907515,492,134.92,2982310,27.13
1915,15920609,572,183.73,2984755,27.13
1916,15924495,483,132.6,2985512,27.13
1917,15940784,204,34.73,2988523,27.34
1918,15943586,527,155.96,2989083,27.34
1919,15946199,622,244.71,2989650,27.13
1920,15947868,450,114.31,2989842,27.34
1921,15950656,481,129.57,2990405,27.34
1922,15969520,270,46.71,2993954,27.34
1923,15981185,496,144.49,2996176,27.13
1924,15984746,123,23.83,2996747,27.13
1925,15986835,62,17.75,2997124,27.24
1926,15992988,519,154.3,2998230,27.34
1927,15999861,465,122.12,2999547,27.13
1928,16012233,684,283.21,3001976,27.13
1929,16020718,515,147.53,3003488,27.34
1930,16027998,467,121.56,3004810,27.34
1931,16030612,728,431.28,3005374,27.13
1932,16033616,486,135.98,3005941,27.34
1933,16034197,492,134.92,3006133,27.34
1934,16037877,529,156.43,3006706,27.13
1935,16038252,583,201.26,3006898,27.45
1936,16064838,483,132.6,3011787,27.34
1937,16075737,792,615.27,3013852,27.34
1938,16085981,490,139.21,3015732,27.34
1939,16105930,473,126.29,3019492,27.34
1940,16111249,524,150.73,3020614,27.13
1941,16139751,450,114.31,3025875,27.13
1942,16142844,536,160.18,3026440,27.13
1943,16152752,563,181.65,3028324,27.13
1944,16167326,481,129.57,3031141,27.13
1945,16170250,419,97.2,3031706,27.34
1946,16177325,575,187.3,3033014,27.34
1947,16183564,483,132.6,3034145,27.34
1948,16192948,639,249.88,3035843,27.34
1949,16195666,486,135.98,3036415,27.13
1950,16207282,504,143.61,3038679,27.13
1951,16214888,504,143.61,3039996,27.13
1952,16220672,478,129.43,3041124,27.45
1953,16233371,492,134.92,3043555,27.34
1954,16246973,639,249.88,3045997,27.34
1955,16247952,615,227.36,3046190,27.13
1956,16263317,519,154.3,3049206,27.34
1957,16268397,775,556.41,3050151,27.34
1958,16270900,480,130.21,3050532,27.34
1959,16273407,671,277.06,3051099,27.13
1960,16278375,127,24.18,3052042,27.34
1961,16279384,531,160.62,3052230,26.91
1962,16294222,489,138.11,3055050,26.91
1963,16297803,472,125.87,3055619,27.34
1964,16305751,481,129.57,3057116,27.34
1965,16305887,483,132.6,3057121,27.34
1966,16316835,178,30.4,3059186,27.24
1967,16319633,536,160.18,3059743,26.91
1968,16327878,481,129.57,3061249,27.24
1969,16332792,287,50.23,3062186,27.34
1970,16358224,760,464.8,3066994,27.34
1971,16364307,551,164.56,3068127,27.13
1972,16398926,487,132.65,3074511,27.02
1973,16401779,569,185.56,3075081,27.13
1974,16413192,609,211.41,3077343,27.13
1975,16419953,513,148.53,3078475,27.34
1976,16425726,732,451.17,3079605,27.24
1977,16428481,575,187.3,3080174,27.13
1978,16428880,496,144.49,3080180,27.34
1979,16429754,504,143.61,3080372,27.34
1980,16436738,487,132.65,3081691,27.34
1981,16483937,487,132.65,3090505,27.34
1982,16494484,709,376.18,3092574,27.24
1983,16504796,575,187.3,3094458,27.34
1984,16508860,486,135.98,3095218,27.34
1985,16513780,460,119.54,3096160,27.34
