Event,RunTime,ADC,SiPM,DownTime,Temp
3234,28200987,639,249.88,5249164,27.88
3235,28204910,330,60.13,5249923,28.31
3236,28213661,487,132.65,5251597,28.2
3237,28217410,335,61.77,5252352,28.2
3238,28218186,352,66.89,5252542,28.31
3239,28218386,440,109.25,5252547,28.1
3240,28220444,345,64.98,5252925,28.2
3241,28221195,454,115.28,5253115,28.2
3242,28222214,295,51.75,5253307,28.2
3243,28238973,352,66.89,5256276,28.1
3244,28239282,167,28.76,5256466,28.31
3245,28240683,319,57.64,5256655,28.2
3246,28250823,63,17.91,5258514,28.1
3247,28254643,441,109.77,5259251,28.1
3248,28260899,504,143.61,5260374,27.99
3249,28261328,604,210.97,5260566,27.99
3250,28266212,355,68.3,5261513,28.31
3251,28270809,352,66.89,5262265,28.31
3252,28280385,415,95,5264128,28.2
3253,28281657,568,189.84,5264319,27.88
3254,28293715,323,58.48,5266586,28.31
3255,28295271,352,66.89,5266959,28.1
3256,28302361,399,87.3,5268263,27.99
3257,28309363,399,87.3,5269567,28.31
3258,28314385,332,61.17,5270500,28.31
3259,28321903,499,141.24,5271808,28.2
3260,28337735,355,68.3,5274817,28.31
3261,28347955,419,97.2,5276677,28.1
3262,28360398,369,73.42,5279107,28.31
3263,28375463,457,118.95,5281898,28.1
3264,28391729,359,69.86,5284894,28.31
3265,28395903,359,69.86,5285643,28.2
3266,28398198,553,176.67,5286205,28.1
3267,28420749,408,90.57,5290366,28.2
3268,28420944,384,80.08,5290371,28.1
3269,28433998,376,76.43,5292788,28.2
3270,28435740,344,64.67,5293166,28.31
3271,28436708,287,50.23,5293356,28.31
3272,28446689,295,51.75,5295204,28.31
3273,28454314,325,59.05,5296686,28.2
3274,28473318,423,97.36,5300203,28.2
3275,28476920,423,97.36,5300770,28.1
3276,28484979,472,125.87,5302265,27.99
3277,28499772,368,72.93,5305072,28.31
3278,28517852,455,117.03,5308415,28.1
3279,28535393,415,95,5311774,28.1
3280,28553969,380,78.12,5315134,28.31
3281,28563331,327,59.28,5316992,28.2
3282,28564209,327,59.28,5317182,28.31
3283,28566751,435,104.92,5317558,27.99
3284,28580833,472,125.87,5320178,27.99
3285,28581235,384,80.08,5320369,28.31
3286,28596381,387,81.05,5323155,28.31
3287,28600303,344,64.67,5323901,28.31
3288,28601312,323,58.48,5324092,28.31
3289,28603239,391,82.35,5324468,28.31
3290,28609880,327,59.28,5325588,28.31
3291,28619444,323,58.48,5327450,28.2
3292,28622282,192,32.67,5328007,28.31
3293,28634272,376,76.43,5330229,28.31
3294,28639839,543,164.77,5331163,28.2
3295,28643401,344,64.67,5331921,28.31
3296,28643987,391,82.35,5331926,28.31
3297,28658964,131,24.54,5334717,28.31
3298,28666240,688,328.69,5336195,27.99
3299,28668495,432,101.61,5336579,28.31
3300,28671845,419,97.2,5337144,28.1
3301,28681536,353,67.64,5339015,28.1
3302,28682837,440,109.25,5339205,28.2
3303,28694405,440,109.25,5341448,28.2
3304,28716506,352,66.89,5345562,28.2
3305,28735247,384,80.08,5349090,28.31
3306,28766218,334,61.44,5354845,28.31
3307,28769407,325,59.05,5355407,28.31
3308,28823369,376,76.43,5365409,28.2
3309,28828396,472,125.87,5366344,28.2
3310,28859313,366,72.41,5372164,28.31
3311,28861919,364,71.71,5372540,28.2
3312,28864495,451,113.08,5373103,28.1
3313,28868424,476,129.76,5373856,27.99
3314,28871344,344,64.67,5374420,28.31
3315,28878890,142,25.64,5375724,28.31
3316,28910981,304,53.73,5381643,28.31
3317,28915319,385,80.11,5382572,28.31
3318,28922198,393,83.55,5383876,28.2
3319,28923964,255,43.96,5384067,28.31
3320,28925878,462,120.87,5384441,28.1
3321,28928282,473,126.29,5385009,28.2
3322,28929827,211,35.96,5385203,28.31
3323,28930863,359,69.86,5385393,28.31
