Event,RunTime,ADC,SiPM,DownTime,Temp
17769,151231545,483,132.6,28539388,27.34
17770,151233889,483,132.6,28539776,27.45
17771,151239926,473,126.29,28540910,27.34
17772,151248764,408,90.57,28542620,27.34
17773,151249471,473,126.29,28542812,27.34
17774,151251709,583,201.26,28543196,27.34
17775,151261600,496,144.49,28545086,27.34
17776,151265497,263,45.37,28545844,27.34
17777,151272587,476,129.76,28547150,27.34
17778,151275511,473,126.29,28547724,27.34
17779,151279458,551,164.56,28548490,27.34
17780,151279616,463,119.23,28548496,27.34
17781,151280670,511,149.39,28548690,27.45
17782,151284586,463,119.23,28549454,27.13
17783,151285495,352,66.89,28549648,27.34
17784,151286405,508,144.95,28549842,27.34
17785,151294401,540,166.11,28551354,27.34
17786,151328677,441,109.77,28557794,27.34
17787,151351980,112,22.94,28562098,27.34
17788,151362950,476,129.76,28564134,27.34
17789,151363592,455,117.03,28564328,27.45
17790,151365800,519,154.3,28564710,27.34
17791,151371472,225,38.48,28565844,27.45
17792,151375454,697,299.81,28566592,27.34
17793,151378649,483,132.6,28567164,27.45
17794,151382756,480,130.21,28567926,27.34
17795,151385806,632,232.56,28568500,27.34
17796,151397635,625,226.08,28570770,27.34
17797,151416754,496,144.49,28574354,27.34
17798,151419879,339,62.98,28574924,27.34
17799,151431640,487,132.65,28577170,27.34
17800,151432568,639,249.88,28577364,27.13
17801,151436871,780,538.09,28578124,27.34
17802,151438648,472,125.87,28578512,27.13
17803,151440402,481,129.57,28578896,27.34
17804,151442888,51,15.86,28579280,27.34
17805,151448459,583,201.26,28580394,27.45
17806,151454197,519,154.3,28581536,27.34
17807,151474677,489,138.11,28585314,27.34
17808,151502624,709,376.18,28590604,27.34
17809,151503556,255,43.96,28590798,27.34
17810,151504688,480,130.21,28590990,27.34
17811,151510835,704,326.52,28592128,27.34
17812,151516874,611,211.89,28593272,27.34
17813,151519943,639,249.88,28593846,27.34
17814,151520211,553,176.67,28594040,27.34
17815,151521991,480,130.21,28594240,27.34
17816,151522531,199,33.86,28594434,27.34
17817,151529221,499,141.24,28595730,27.45
17818,151539651,536,160.18,28597628,27.34
17819,151549997,591,188.65,28599526,27.34
17820,151558789,679,318.29,28601234,27.34
17821,151567729,82,20.36,28602936,27.34
17822,151580646,494,141.37,28605346,27.45
17823,151582670,472,125.87,28605730,27.45
17824,151593985,527,155.96,28607810,27.34
17825,151596208,449,112.05,28608382,27.34
17826,151596810,481,129.57,28608390,27.13
17827,151613715,504,143.61,28611602,27.45
17828,151642574,487,132.65,28617076,27.34
17829,151643269,496,144.49,28617270,27.34
17830,151650579,483,132.6,28618602,27.34
17831,151692933,572,183.73,28626538,27.45
17832,151706683,515,147.53,28629186,27.34
17833,151707237,704,326.52,28629380,27.13
17834,151707725,472,125.87,28629386,27.34
17835,151718274,483,132.6,28631460,27.34
17836,151724798,608,202.86,28632598,27.45
17837,151727297,487,132.65,28633168,27.34
17838,151737549,659,253.36,28635060,27.34
17839,151743882,385,80.11,28636204,27.34
17840,151749964,696,307.73,28637330,27.34
17841,151753775,480,130.21,28638090,27.45
17842,151758192,551,164.56,28639036,27.34
17843,151766197,483,132.6,28640558,27.34
17844,151772781,481,129.57,28641694,27.34
17845,151777838,483,132.6,28642648,27.45
17846,151779221,59,17.27,28643030,27.45
17847,151782305,481,129.57,28643590,27.34
17848,151782633,483,132.6,28643596,27.34
17849,151782960,690,313.65,28643602,27.34
17850,151786872,465,122.12,28644364,27.24
17851,151798297,483,132.6,28646634,27.34
17852,151801748,568,189.84,28647206,27.34
17853,151810882,483,132.6,28648910,27.34
17854,151815742,366,72.41,28649862,27.45
17855,151829734,685,308.84,28652476,27.45
17856,151838987,492,134.92,28654182,27.45
17857,151843295,423,97.36,28655130,27.34
17858,151861344,221,37.76,28658492,27.34
17859,151863391,636,231.85,28658866,27.45
17860,151867715,327,59.28,28659628,27.34
17861,151867977,494,141.37,28659634,27.45
17862,151887772,677,286.87,28663416,27.34
17863,151897301,537,162.17,28665310,27.34
17864,151907356,568,189.84,28667198,27.34
17865,151912981,508,144.95,28668148,27.34
17866,151936962,510,148.47,28672684,27.34
17867,151948240,448,112.41,28674946,27.34
17868,151953982,480,130.21,28675890,27.34
17869,151997269,441,109.77,28684196,27.45
17870,151998905,568,189.84,28684388,27.34
17871,152018430,521,150.31,28688170,27.45
17872,152028293,480,130.21,28690064,27.34
17873,152031286,792,615.27,28690634,27.13
17874,152059793,483,132.6,28695930,27.13
17875,152063366,540,166.11,28696688,27.13
17876,152068402,480,130.21,28697636,27.34
17877,152079745,304,53.73,28699726,27.34
17878,152099971,524,150.73,28703462,27.34
17879,152122724,659,253.36,28707822,27.34
17880,152124980,220,37.58,28708206,27.34
17881,152128329,455,117.03,28708950,27.34
17882,152132208,483,132.6,28709708,27.34
17883,152145904,316,56.81,28712168,27.45
17884,152146359,515,147.53,28712360,27.13
17885,152149773,432,101.61,28712932,27.45
17886,152152327,477,129.58,28713500,27.34
17887,152157372,440,109.25,28714452,27.34
17888,152162452,504,143.61,28715392,27.34
17889,152163850,543,164.77,28715590,27.34
17890,152164282,522,154.94,28715784,27.34
17891,152174348,540,166.11,28717680,27.45
17892,152186344,743,466.23,28719950,27.34
17893,152192303,348,65.64,28721084,27.34
17894,152197402,508,144.95,28722026,27.34
17895,152199512,465,122.12,28722410,27.34
17896,152212218,480,130.21,28724868,27.45
17897,152213446,393,83.55,28725064,27.56
17898,152214887,723,388.29,28725260,27.34
17899,152234489,527,155.96,28729036,27.34
17900,152240347,652,262.1,28730172,27.34
17901,152245207,504,143.61,28731122,27.45
17902,152250939,700,294.28,28732076,27.34
17903,152256824,601,200.55,28733212,27.34
17904,152257582,57,16.93,28733406,27.45
17905,152267981,696,307.73,28735264,27.34
17906,152276352,668,291.28,28736968,27.34
17907,152301390,483,132.6,28741704,27.34
17908,152306979,98,21.83,28742654,27.45
17909,152317344,505,145.23,28744690,27.45
